codprov,coddepto,IN1
07,014,26091
07,015,26021
08,001,30084
08,003,30070
08,004,30021
08,005,30105
08,006,30077
08,007,30049
08,008,30091
08,009,30098
08,010,30056
08,011,30063
08,012,30113
08,013,30015
08,014,30035
08,015,30008
08,016,30042
08,017,30028
08,018,30088
09,001,34014
09,002,34021
09,003,34049
09,004,34056
09,005,34042
09,006,34035
09,007,34007
09,008,34028
09,009,34063
10,001,38021
10,002,38042
10,003,38056
10,004,38014
10,005,38063
10,006,38070
10,007,38035
10,008,38105
10,009,38098
10,010,38094
10,011,38028
10,012,38007
10,013,38049
10,014,38077
10,015,38112
10,016,38084
11,001,42007
11,002,42021
11,003,42014
11,004,42028
11,005,42049
11,006,42056
11,007,42063
11,008,42035
11,009,42042
11,010,42070
11,011,42077
11,012,42098
11,013,42084
11,014,42091
11,015,42105
11,016,42112
11,017,42119
11,018,42126
11,019,42133
11,020,42140
11,021,42147
11,022,42154
12,001,46014
12,002,46126
12,003,46021
12,004,46007
12,005,46119
12,006,46042
12,007,46049
12,008,46028
12,009,46077
12,010,46098
12,011,46105
12,012,46035
12,013,46056
12,014,46063
12,015,46070
12,016,46084
12,017,46112
12,018,46091
13,001,50007
13,002,50021
13,003,50028
13,004,50049
13,005,50056
13,006,50070
13,007,50063
13,008,50126
13,009,50098
13,010,50035
13,011,50084
13,012,50119
13,013,50091
13,014,50112
13,015,50042
13,016,50105
13,017,50077
13,018,50014
14,007,54007
14,014,54014
14,021,54021
14,028,54028
14,035,54035
14,042,54042
14,049,54049
14,056,54056
14,063,54063
14,070,54070
14,077,54077
14,084,54084
14,091,54091
14,098,54098
14,105,54105
14,112,54112
14,119,54119
15,001,58035
15,002,58112
15,003,58014
15,004,58091
15,005,58042
15,006,58077
15,007,58084
15,008,58063
15,009,58105
15,010,58007
15,011,58021
15,012,58098
15,013,58028
15,014,58049
15,015,58056
15,016,58070
16,001,62007
16,002,62028
16,003,62077
16,004,62084
16,005,62049
16,006,62091
16,007,62056
16,008,62070
16,009,62021
16,010,62063
16,011,62014
16,012,62042
16,013,62035
17,001,66028
17,002,66077
17,003,66049
17,004,66112
17,005,66007
17,006,66133
17,007,66126
17,008,66056
17,009,66070
17,010,66161
17,011,66035
17,012,66042
17,013,66098
17,014,66063
17,015,66140
17,016,66084
17,017,66021
17,018,66154
17,019,66119
17,020,66014
17,021,66147
17,022,66091
17,023,66105
18,007,70007
18,014,70014
18,021,70021
18,028,70028
18,035,70035
18,042,70042
18,049,70049
18,056,70056
18,063,70063
18,070,70070
18,077,70077
18,084,70084
18,091,70091
18,098,70098
18,105,70105
18,112,70112
18,119,70119
18,126,70126
18,133,70133
19,001,74056
19,002,74021
19,003,74035
19,004,74028
19,005,74063
19,006,74049
19,007,74007
19,008,74014
19,009,74042
20,001,78014
20,002,78035
20,003,78042
20,004,78049
20,005,78007
20,006,78028
20,007,78021
21,001,82007
21,002,82014
21,003,82021
21,004,82028
21,005,82035
21,006,82042
21,007,82049
21,008,82056
21,009,82063
21,011,82070
21,012,82077
21,013,82084
21,016,82091
21,017,82098
21,018,82105
21,019,82112
21,020,82119
21,021,82126
21,022,82133
22,001,86049
22,002,86028
22,003,86007
22,004,86014
22,005,86021
22,006,86035
22,007,86042
22,008,86056
22,009,86063
22,010,86070
22,011,86084
22,012,86091
22,013,86105
22,014,86098
22,015,86112
22,016,86119
22,017,86126
22,018,86133
22,019,86140
22,020,86154
22,021,86161
22,022,86147
22,023,86189
22,024,86175
22,025,86168
22,026,86182
22,027,86077
23,001,90084
23,002,90063
23,003,90028
23,004,90070
23,005,90021
23,006,90077
23,007,90042
23,008,90049
23,009,90035
23,010,90091
23,011,90056
23,012,90014
23,013,90007
23,014,90112
23,015,90119
23,016,90105
23,017,90098
24,01,94014
24,02,94007
