PROV_,DEPTO_,COD_2010,codprov,coddepto,circuito,IN1,NAM
02,013,020130101,01,013,00134,2091,Comuna 13
02,013,020130102,01,013,00134,2091,Comuna 13
02,013,020130103,01,013,00134,2091,Comuna 13
02,013,020130104,01,013,00134,2091,Comuna 13
02,013,020130105,01,013,00134,2091,Comuna 13
02,013,020130106,01,013,00134,2091,Comuna 13
02,013,020130107,01,013,00134,2091,Comuna 13
02,013,020130108,01,013,00134,2091,Comuna 13
02,013,020130109,01,013,00134,2091,Comuna 13
02,013,020130110,01,013,00134,2091,Comuna 13
02,013,020130111,01,013,00134,2091,Comuna 13
02,013,020130112,01,013,00134,2091,Comuna 13
02,013,020130113,01,013,00134,2091,Comuna 13
02,013,020130114,01,013,00134,2091,Comuna 13
02,013,020130201,01,013,00136,2091,Comuna 13
02,013,020130202,01,013,00136,2091,Comuna 13
02,013,020130203,01,013,00136,2091,Comuna 13
02,013,020130204,01,013,00136,2091,Comuna 13
02,013,020130205,01,013,00135,2091,Comuna 13
02,013,020130206,01,013,00135,2091,Comuna 13
02,013,020130207,01,013,00135,2091,Comuna 13
02,013,020130208,01,013,00136,2091,Comuna 13
02,013,020130209,01,013,00136,2091,Comuna 13
02,013,020130210,01,013,00135,2091,Comuna 13
02,013,020130211,01,013,00135,2091,Comuna 13
02,013,020130301,01,013,00135,2091,Comuna 13
02,013,020130302,01,013,00134,2091,Comuna 13
02,013,020130303,01,013,00135,2091,Comuna 13
02,013,020130304,01,013,00135,2091,Comuna 13
02,013,020130305,01,013,00135,2091,Comuna 13
02,013,020130306,01,013,00135,2091,Comuna 13
02,013,020130307,01,013,00135,2091,Comuna 13
02,013,020130308,01,013,00135,2091,Comuna 13
02,013,020130309,01,013,00135,2091,Comuna 13
02,013,020130310,01,013,00135,2091,Comuna 13
02,013,020130401,01,013,00136,2091,Comuna 13
02,013,020130402,01,013,00136,2091,Comuna 13
02,013,020130403,01,013,00136,2091,Comuna 13
02,013,020130404,01,013,00136,2091,Comuna 13
02,013,020130405,01,013,00136,2091,Comuna 13
02,013,020130406,01,013,00136,2091,Comuna 13
02,013,020130407,01,013,00136,2091,Comuna 13
02,013,020130408,01,013,00136,2091,Comuna 13
02,013,020130409,01,013,00136,2091,Comuna 13
02,013,020130410,01,013,00136,2091,Comuna 13
02,013,020130411,01,013,00136,2091,Comuna 13
02,013,020130412,01,013,00136,2091,Comuna 13
02,013,020130413,01,013,00136,2091,Comuna 13
