,PROV_,DEPTO_,FRACC_,COD_2010,IN1,NAM
136,02,012,07,020120701,02084,Comuna 12
137,02,013,12,020131203,02091,Comuna 13
138,02,013,06,020130603,02091,Comuna 13
139,02,012,06,020120610,02084,Comuna 12
140,02,013,08,020130805,02091,Comuna 13
141,02,012,07,020120703,02084,Comuna 12
142,02,013,06,020130606,02091,Comuna 13
143,02,013,12,020131206,02091,Comuna 13
144,02,013,12,020131201,02091,Comuna 13
145,02,013,08,020130802,02091,Comuna 13
146,02,013,06,020130607,02091,Comuna 13
147,02,013,10,020131006,02091,Comuna 13
148,02,013,08,020130801,02091,Comuna 13
149,02,012,07,020120704,02084,Comuna 12
150,02,013,12,020131210,02091,Comuna 13
151,02,013,10,020131007,02091,Comuna 13
152,02,013,07,020130703,02091,Comuna 13
153,02,013,08,020130809,02091,Comuna 13
154,02,013,08,020130806,02091,Comuna 13
155,02,012,02,020120206,02084,Comuna 12
156,02,012,07,020120705,02084,Comuna 12
157,02,013,10,020131011,02091,Comuna 13
158,02,013,12,020131207,02091,Comuna 13
159,02,012,08,020120801,02084,Comuna 12
160,02,013,08,020130810,02091,Comuna 13
161,02,013,08,020130807,02091,Comuna 13
162,02,013,06,020130608,02091,Comuna 13
163,02,013,07,020130704,02091,Comuna 13
164,02,013,12,020131208,02091,Comuna 13
165,02,013,10,020131010,02091,Comuna 13
166,02,013,08,020130808,02091,Comuna 13
167,02,013,09,020130901,02091,Comuna 13
168,02,012,07,020120706,02084,Comuna 12
169,02,013,07,020130702,02091,Comuna 13
170,02,012,08,020120802,02084,Comuna 12
171,02,013,09,020130902,02091,Comuna 13
172,02,013,07,020130705,02091,Comuna 13
173,02,013,09,020130906,02091,Comuna 13
174,02,013,13,020131303,02091,Comuna 13
175,02,013,07,020130706,02091,Comuna 13
176,02,012,02,020120207,02084,Comuna 12
177,02,013,12,020131209,02091,Comuna 13
178,02,013,10,020131009,02091,Comuna 13
179,02,013,07,020130707,02091,Comuna 13
180,02,013,07,020130701,02091,Comuna 13
181,02,012,01,020120102,02084,Comuna 12
182,02,013,16,020131603,02091,Comuna 13
183,02,012,09,020120907,02084,Comuna 12
184,02,013,09,020130903,02091,Comuna 13
185,02,013,09,020130905,02091,Comuna 13
186,02,013,07,020130708,02091,Comuna 13
187,02,013,09,020130907,02091,Comuna 13
188,02,013,13,020131305,02091,Comuna 13
189,02,012,08,020120803,02084,Comuna 12
190,02,013,16,020131602,02091,Comuna 13
191,02,013,13,020131302,02091,Comuna 13
192,02,013,09,020130908,02091,Comuna 13
193,02,013,10,020131008,02091,Comuna 13
194,02,012,07,020120708,02084,Comuna 12
195,02,013,13,020131304,02091,Comuna 13
196,02,013,09,020130904,02091,Comuna 13
197,02,013,09,020130909,02091,Comuna 13
198,02,013,14,020131403,02091,Comuna 13
199,02,013,16,020131604,02091,Comuna 13
200,02,013,13,020131306,02091,Comuna 13
201,02,012,07,020120707,02084,Comuna 12
202,02,013,16,020131601,02091,Comuna 13
203,02,013,07,020130709,02091,Comuna 13
204,02,013,13,020131301,02091,Comuna 13
205,02,012,09,020120906,02084,Comuna 12
206,02,012,08,020120804,02084,Comuna 12
207,02,013,09,020130910,02091,Comuna 13
208,02,013,14,020131402,02091,Comuna 13
209,02,013,16,020131605,02091,Comuna 13
210,02,012,09,020120903,02084,Comuna 12
211,02,012,08,020120806,02084,Comuna 12
212,02,013,13,020131307,02091,Comuna 13
213,02,012,01,020120101,02084,Comuna 12
214,02,013,14,020131401,02091,Comuna 13
215,02,013,16,020131606,02091,Comuna 13
216,02,013,16,020131610,02091,Comuna 13
217,02,013,14,020131404,02091,Comuna 13
218,02,013,13,020131313,02091,Comuna 13
219,02,013,17,020131701,02091,Comuna 13
220,02,012,07,020120709,02084,Comuna 12
221,02,012,10,020121004,02084,Comuna 12
222,02,013,14,020131406,02091,Comuna 13
223,02,013,16,020131607,02091,Comuna 13
224,02,013,13,020131308,02091,Comuna 13
225,02,013,15,020131502,02091,Comuna 13
226,02,013,14,020131405,02091,Comuna 13
227,02,012,09,020120905,02084,Comuna 12
228,02,013,17,020131702,02091,Comuna 13
229,02,013,16,020131609,02091,Comuna 13
230,02,012,09,020120901,02084,Comuna 12
231,02,012,10,020121003,02084,Comuna 12
232,02,013,15,020131501,02091,Comuna 13
233,02,013,14,020131411,02091,Comuna 13
234,02,013,13,020131314,02091,Comuna 13
235,02,012,09,020120904,02084,Comuna 12
236,02,013,16,020131608,02091,Comuna 13
237,02,012,08,020120807,02084,Comuna 12
238,02,013,16,020131611,02091,Comuna 13
239,02,012,07,020120710,02084,Comuna 12
240,02,013,14,020131410,02091,Comuna 13
241,02,013,16,020131612,02091,Comuna 13
242,02,013,14,020131409,02091,Comuna 13
243,02,012,08,020120805,02084,Comuna 12
244,02,013,15,020131503,02091,Comuna 13
245,02,013,17,020131703,02091,Comuna 13
246,02,013,21,020132105,02091,Comuna 13
247,02,013,13,020131309,02091,Comuna 13
248,02,013,17,020131705,02091,Comuna 13
249,02,012,10,020121001,02084,Comuna 12
250,02,013,13,020131312,02091,Comuna 13
251,02,012,09,020120902,02084,Comuna 12
252,02,013,16,020131613,02091,Comuna 13
253,02,013,14,020131408,02091,Comuna 13
254,02,013,15,020131509,02091,Comuna 13
255,02,013,21,020132104,02091,Comuna 13
256,02,012,08,020120808,02084,Comuna 12
257,02,013,13,020131310,02091,Comuna 13
258,02,013,22,020132208,02091,Comuna 13
259,02,012,10,020121002,02084,Comuna 12
260,02,012,17,020121701,02084,Comuna 12
261,02,013,15,020131504,02091,Comuna 13
262,02,013,14,020131407,02091,Comuna 13
263,02,013,17,020131709,02091,Comuna 13
264,02,012,08,020120810,02084,Comuna 12
265,02,013,21,020132103,02091,Comuna 13
266,02,013,22,020132209,02091,Comuna 13
267,02,012,08,020120809,02084,Comuna 12
268,02,013,21,020132106,02091,Comuna 13
269,02,013,13,020131311,02091,Comuna 13
270,02,013,17,020131704,02091,Comuna 13
271,02,012,10,020121005,02084,Comuna 12
272,02,013,22,020132206,02091,Comuna 13
273,02,012,17,020121704,02084,Comuna 12
274,02,012,10,020121006,02084,Comuna 12
275,02,013,18,020131803,02091,Comuna 13
276,02,013,15,020131505,02091,Comuna 13
277,02,013,21,020132102,02091,Comuna 13
278,02,013,15,020131508,02091,Comuna 13
279,02,013,21,020132107,02091,Comuna 13
280,02,012,18,020121802,02084,Comuna 12
281,02,013,17,020131706,02091,Comuna 13
282,02,014,02,020140203,02098,Comuna 14
283,02,014,02,020140208,02098,Comuna 14
284,02,013,17,020131710,02091,Comuna 13
285,02,013,15,020131507,02091,Comuna 13
286,02,013,21,020132101,02091,Comuna 13
287,02,013,21,020132108,02091,Comuna 13
288,02,013,18,020131802,02091,Comuna 13
289,02,013,15,020131510,02091,Comuna 13
290,02,013,21,020132110,02091,Comuna 13
291,02,013,22,020132205,02091,Comuna 13
292,02,013,17,020131708,02091,Comuna 13
293,02,013,22,020132207,02091,Comuna 13
294,02,012,10,020121007,02084,Comuna 12
295,02,012,17,020121702,02084,Comuna 12
296,02,012,17,020121705,02084,Comuna 12
297,02,013,15,020131506,02091,Comuna 13
298,02,014,02,020140202,02098,Comuna 14
299,02,013,15,020131511,02091,Comuna 13
300,02,013,20,020132005,02091,Comuna 13
301,02,013,22,020132204,02091,Comuna 13
302,02,014,02,020140204,02098,Comuna 14
303,02,012,08,020120811,02084,Comuna 12
304,02,013,17,020131707,02091,Comuna 13
305,02,012,10,020121011,02084,Comuna 12
306,02,012,18,020121806,02084,Comuna 12
307,02,013,19,020131903,02091,Comuna 13
308,02,013,15,020131512,02091,Comuna 13
309,02,014,02,020140201,02098,Comuna 14
310,02,013,21,020132109,02091,Comuna 13
311,02,013,17,020131711,02091,Comuna 13
312,02,012,10,020121009,02084,Comuna 12
313,02,012,18,020121801,02084,Comuna 12
314,02,014,02,020140207,02098,Comuna 14
315,02,014,02,020140209,02098,Comuna 14
316,02,012,18,020121803,02084,Comuna 12
317,02,014,02,020140205,02098,Comuna 14
318,02,013,20,020132001,02091,Comuna 13
319,02,012,17,020121703,02084,Comuna 12
320,02,013,19,020131902,02091,Comuna 13
321,02,013,20,020132004,02091,Comuna 13
322,02,013,20,020132006,02091,Comuna 13
323,02,014,01,020140108,02098,Comuna 14
324,02,012,17,020121708,02084,Comuna 12
325,02,013,18,020131807,02091,Comuna 13
326,02,013,18,020131801,02091,Comuna 13
327,02,013,18,020131804,02091,Comuna 13
328,02,012,11,020121109,02084,Comuna 12
329,02,013,19,020131904,02091,Comuna 13
330,02,013,20,020132003,02091,Comuna 13
331,02,013,22,020132202,02091,Comuna 13
332,02,013,19,020131901,02091,Comuna 13
333,02,014,01,020140109,02098,Comuna 14
334,02,014,03,020140304,02098,Comuna 14
335,02,014,02,020140206,02098,Comuna 14
336,02,014,02,020140210,02098,Comuna 14
337,02,012,10,020121010,02084,Comuna 12
338,02,013,20,020132012,02091,Comuna 13
339,02,012,11,020121108,02084,Comuna 12
340,02,012,18,020121804,02084,Comuna 12
341,02,013,22,020132203,02091,Comuna 13
342,02,012,19,020121901,02084,Comuna 12
343,02,013,20,020132002,02091,Comuna 13
344,02,013,19,020131905,02091,Comuna 13
345,02,013,22,020132201,02091,Comuna 13
346,02,013,20,020132007,02091,Comuna 13
347,02,014,01,020140104,02098,Comuna 14
348,02,012,17,020121706,02084,Comuna 12
349,02,013,18,020131805,02091,Comuna 13
350,02,012,10,020121008,02084,Comuna 12
351,02,014,03,020140305,02098,Comuna 14
352,02,014,03,020140301,02098,Comuna 14
353,02,014,01,020140110,02098,Comuna 14
354,02,013,23,020132305,02091,Comuna 13
355,02,012,16,020121606,02084,Comuna 12
356,02,013,20,020132011,02091,Comuna 13
357,02,014,03,020140303,02098,Comuna 14
358,02,013,19,020131909,02091,Comuna 13
359,02,012,11,020121106,02084,Comuna 12
360,02,012,16,020121604,02084,Comuna 12
361,02,012,11,020121107,02084,Comuna 12
362,02,012,18,020121805,02084,Comuna 12
363,02,013,23,020132306,02091,Comuna 13
364,02,012,11,020121102,02084,Comuna 12
365,02,013,20,020132010,02091,Comuna 13
366,02,013,18,020131806,02091,Comuna 13
367,02,013,20,020132008,02091,Comuna 13
368,02,014,03,020140312,02098,Comuna 14
369,02,013,19,020131908,02091,Comuna 13
370,02,014,03,020140306,02098,Comuna 14
371,02,013,23,020132304,02091,Comuna 13
372,02,014,04,020140402,02098,Comuna 14
373,02,013,23,020132311,02091,Comuna 13
374,02,014,03,020140302,02098,Comuna 14
375,02,013,20,020132009,02091,Comuna 13
376,02,012,16,020121605,02084,Comuna 12
377,02,013,19,020131910,02091,Comuna 13
378,02,012,17,020121707,02084,Comuna 12
379,02,014,01,020140103,02098,Comuna 14
380,02,012,18,020121807,02084,Comuna 12
381,02,012,11,020121101,02084,Comuna 12
382,02,013,23,020132303,02091,Comuna 13
383,02,012,11,020121103,02084,Comuna 12
384,02,014,09,020140906,02098,Comuna 14
385,02,012,16,020121603,02084,Comuna 12
386,02,014,01,020140101,02098,Comuna 14
387,02,014,01,020140105,02098,Comuna 14
388,02,013,27,020132702,02091,Comuna 13
389,02,013,19,020131911,02091,Comuna 13
390,02,014,03,020140311,02098,Comuna 14
391,02,013,23,020132307,02091,Comuna 13
392,02,012,13,020121302,02084,Comuna 12
393,02,014,03,020140307,02098,Comuna 14
394,02,013,19,020131906,02091,Comuna 13
395,02,013,23,020132302,02091,Comuna 13
396,02,012,19,020121907,02084,Comuna 12
397,02,013,19,020131912,02091,Comuna 13
398,02,014,01,020140106,02098,Comuna 14
399,02,013,18,020131808,02091,Comuna 13
400,02,012,16,020121602,02084,Comuna 12
401,02,014,01,020140102,02098,Comuna 14
402,02,013,27,020132703,02091,Comuna 13
403,02,014,09,020140907,02098,Comuna 14
404,02,014,04,020140403,02098,Comuna 14
405,02,013,19,020131907,02091,Comuna 13
406,02,013,23,020132310,02091,Comuna 13
407,02,014,09,020140905,02098,Comuna 14
408,02,013,23,020132301,02091,Comuna 13
409,02,013,23,020132308,02091,Comuna 13
410,02,012,18,020121808,02084,Comuna 12
411,02,014,03,020140310,02098,Comuna 14
412,02,013,18,020131809,02091,Comuna 13
413,02,014,01,020140107,02098,Comuna 14
414,02,013,27,020132706,02091,Comuna 13
415,02,014,09,020140904,02098,Comuna 14
416,02,012,16,020121608,02084,Comuna 12
417,02,013,27,020132701,02091,Comuna 13
418,02,014,09,020140908,02098,Comuna 14
419,02,014,03,020140308,02098,Comuna 14
420,02,012,16,020121607,02084,Comuna 12
421,02,012,13,020121303,02084,Comuna 12
422,02,013,23,020132309,02091,Comuna 13
423,02,012,11,020121110,02084,Comuna 12
424,02,012,16,020121601,02084,Comuna 12
425,02,012,18,020121809,02084,Comuna 12
426,02,014,09,020140913,02098,Comuna 14
427,02,012,11,020121105,02084,Comuna 12
428,02,014,09,020140902,02098,Comuna 14
429,02,012,19,020121902,02084,Comuna 12
430,02,013,27,020132707,02091,Comuna 13
431,02,014,03,020140309,02098,Comuna 14
432,02,014,04,020140405,02098,Comuna 14
433,02,012,13,020121301,02084,Comuna 12
434,02,012,16,020121609,02084,Comuna 12
435,02,013,27,020132704,02091,Comuna 13
436,02,012,13,020121304,02084,Comuna 12
437,02,013,24,020132404,02091,Comuna 13
438,02,012,19,020121903,02084,Comuna 12
439,02,013,27,020132709,02091,Comuna 13
440,02,012,11,020121104,02084,Comuna 12
441,02,014,09,020140903,02098,Comuna 14
442,02,013,27,020132705,02091,Comuna 13
443,02,014,04,020140401,02098,Comuna 14
444,02,013,18,020131810,02091,Comuna 13
445,02,013,28,020132802,02091,Comuna 13
446,02,013,24,020132405,02091,Comuna 13
447,02,012,18,020121811,02084,Comuna 12
448,02,012,16,020121610,02084,Comuna 12
449,02,014,04,020140406,02098,Comuna 14
450,02,013,28,020132803,02091,Comuna 13
451,02,013,24,020132410,02091,Comuna 13
452,02,014,04,020140404,02098,Comuna 14
453,02,012,18,020121810,02084,Comuna 12
454,02,012,12,020121203,02084,Comuna 12
455,02,014,09,020140901,02098,Comuna 14
456,02,012,16,020121614,02084,Comuna 12
457,02,013,27,020132708,02091,Comuna 13
458,02,012,13,020121305,02084,Comuna 12
459,02,013,24,020132408,02091,Comuna 13
460,02,012,16,020121611,02084,Comuna 12
461,02,012,11,020121111,02084,Comuna 12
462,02,013,24,020132403,02091,Comuna 13
463,02,013,28,020132809,02091,Comuna 13
464,02,012,13,020121307,02084,Comuna 12
465,02,014,09,020140909,02098,Comuna 14
466,02,012,19,020121906,02084,Comuna 12
467,02,013,28,020132801,02091,Comuna 13
468,02,012,15,020121504,02084,Comuna 12
469,02,015,03,020150307,02105,Comuna 15
470,02,013,26,020132603,02091,Comuna 13
471,02,012,19,020121908,02084,Comuna 12
472,02,012,12,020121202,02084,Comuna 12
473,02,012,16,020121612,02084,Comuna 12
474,02,013,28,020132808,02091,Comuna 13
475,02,012,13,020121306,02084,Comuna 12
476,02,013,28,020132804,02091,Comuna 13
477,02,013,24,020132402,02091,Comuna 13
478,02,014,09,020140910,02098,Comuna 14
479,02,013,28,020132810,02091,Comuna 13
480,02,012,12,020121204,02084,Comuna 12
481,02,013,24,020132406,02091,Comuna 13
482,02,012,19,020121905,02084,Comuna 12
483,02,012,14,020121402,02084,Comuna 12
484,02,012,18,020121812,02084,Comuna 12
485,02,013,24,020132409,02091,Comuna 13
486,02,013,26,020132602,02091,Comuna 13
487,02,012,12,020121205,02084,Comuna 12
488,02,012,19,020121909,02084,Comuna 12
489,02,012,16,020121613,02084,Comuna 12
490,02,002,01,020020102,02014,Comuna 2
491,02,014,09,020140911,02098,Comuna 14
492,02,013,28,020132806,02091,Comuna 13
493,02,012,14,020121401,02084,Comuna 12
494,02,014,09,020140912,02098,Comuna 14
495,02,013,28,020132805,02091,Comuna 13
496,02,014,05,020140504,02098,Comuna 14
497,02,013,24,020132401,02091,Comuna 13
498,02,015,03,020150306,02105,Comuna 15
499,02,012,12,020121201,02084,Comuna 12
500,02,013,26,020132610,02091,Comuna 13
501,02,013,28,020132807,02091,Comuna 13
502,02,014,11,020141102,02098,Comuna 14
503,02,002,01,020020101,02014,Comuna 2
504,02,012,19,020121910,02084,Comuna 12
505,02,013,26,020132604,02091,Comuna 13
506,02,014,04,020140407,02098,Comuna 14
507,02,012,18,020121813,02084,Comuna 12
508,02,015,03,020150305,02105,Comuna 15
509,02,013,26,020132611,02091,Comuna 13
510,02,014,05,020140505,02098,Comuna 14
511,02,013,25,020132501,02091,Comuna 13
512,02,012,14,020121407,02084,Comuna 12
513,02,014,11,020141103,02098,Comuna 14
514,02,014,05,020140503,02098,Comuna 14
515,02,013,24,020132407,02091,Comuna 13
516,02,012,19,020121904,02084,Comuna 12
517,02,012,15,020121503,02084,Comuna 12
518,02,012,12,020121208,02084,Comuna 12
519,02,012,14,020121403,02084,Comuna 12
520,02,012,12,020121206,02084,Comuna 12
521,02,013,29,020132905,02091,Comuna 13
522,02,012,15,020121505,02084,Comuna 12
523,02,013,26,020132605,02091,Comuna 13
524,02,014,05,020140510,02098,Comuna 14
525,02,014,11,020141104,02098,Comuna 14
526,02,013,26,020132601,02091,Comuna 13
527,02,014,04,020140409,02098,Comuna 14
528,02,012,14,020121404,02084,Comuna 12
529,02,015,03,020150308,02105,Comuna 15
530,02,013,25,020132502,02091,Comuna 13
531,02,014,05,020140506,02098,Comuna 14
532,02,015,03,020150304,02105,Comuna 15
533,02,012,19,020121913,02084,Comuna 12
534,02,014,31,020143101,02098,Comuna 14
535,02,012,12,020121207,02084,Comuna 12
536,02,012,14,020121405,02084,Comuna 12
537,02,012,19,020121912,02084,Comuna 12
538,02,012,15,020121502,02084,Comuna 12
539,02,014,11,020141105,02098,Comuna 14
540,02,012,19,020121911,02084,Comuna 12
541,02,014,11,020141113,02098,Comuna 14
542,02,014,05,020140509,02098,Comuna 14
543,02,013,29,020132904,02091,Comuna 13
544,02,013,26,020132609,02091,Comuna 13
545,02,013,29,020132906,02091,Comuna 13
546,02,015,03,020150309,02105,Comuna 15
547,02,012,15,020121501,02084,Comuna 12
548,02,015,03,020150313,02105,Comuna 15
549,02,014,05,020140507,02098,Comuna 14
550,02,014,04,020140408,02098,Comuna 14
551,02,013,25,020132503,02091,Comuna 13
552,02,012,15,020121506,02084,Comuna 12
553,02,014,05,020140502,02098,Comuna 14
554,02,014,05,020140501,02098,Comuna 14
555,02,012,14,020121408,02084,Comuna 12
556,02,015,03,020150301,02105,Comuna 15
557,02,012,14,020121406,02084,Comuna 12
558,02,013,25,020132504,02091,Comuna 13
559,02,014,11,020141106,02098,Comuna 14
560,02,012,15,020121507,02084,Comuna 12
561,02,014,06,020140601,02098,Comuna 14
562,02,014,04,020140410,02098,Comuna 14
563,02,013,26,020132606,02091,Comuna 13
564,02,013,25,020132505,02091,Comuna 13
565,02,014,11,020141114,02098,Comuna 14
566,02,015,03,020150310,02105,Comuna 15
567,02,014,11,020141101,02098,Comuna 14
568,02,015,04,020150403,02105,Comuna 15
569,02,013,29,020132903,02091,Comuna 13
570,02,012,15,020121508,02084,Comuna 12
571,02,012,20,020122008,02084,Comuna 12
572,02,013,25,020132506,02091,Comuna 13
573,02,014,05,020140508,02098,Comuna 14
574,02,013,26,020132608,02091,Comuna 13
575,02,013,29,020132908,02091,Comuna 13
576,02,014,06,020140605,02098,Comuna 14
577,02,013,29,020132911,02091,Comuna 13
578,02,012,14,020121410,02084,Comuna 12
579,02,015,03,020150303,02105,Comuna 15
580,02,012,15,020121513,02084,Comuna 12
581,02,012,15,020121509,02084,Comuna 12
582,02,014,11,020141107,02098,Comuna 14
583,02,012,20,020122007,02084,Comuna 12
584,02,012,14,020121409,02084,Comuna 12
585,02,013,29,020132907,02091,Comuna 13
586,02,012,20,020122005,02084,Comuna 12
587,02,015,03,020150302,02105,Comuna 15
588,02,014,31,020143108,02098,Comuna 14
589,02,014,06,020140606,02098,Comuna 14
590,02,014,06,020140604,02098,Comuna 14
591,02,011,01,020110101,02077,Comuna 11
592,02,014,11,020141108,02098,Comuna 14
593,02,014,16,020141601,02098,Comuna 14
594,02,015,02,020150205,02105,Comuna 15
595,02,015,05,020150501,02105,Comuna 15
596,02,015,04,020150402,02105,Comuna 15
597,02,013,26,020132607,02091,Comuna 13
598,02,015,04,020150404,02105,Comuna 15
599,02,012,20,020122004,02084,Comuna 12
600,02,013,29,020132901,02091,Comuna 13
601,02,015,03,020150312,02105,Comuna 15
602,02,015,03,020150311,02105,Comuna 15
603,02,014,06,020140602,02098,Comuna 14
604,02,012,22,020122202,02084,Comuna 12
605,02,012,22,020122201,02084,Comuna 12
606,02,015,10,020151001,02105,Comuna 15
607,02,014,11,020141112,02098,Comuna 14
608,02,014,06,020140610,02098,Comuna 14
609,02,012,15,020121512,02084,Comuna 12
610,02,013,25,020132508,02091,Comuna 13
611,02,013,25,020132507,02091,Comuna 13
612,02,015,10,020151002,02105,Comuna 15
613,02,014,31,020143102,02098,Comuna 14
614,02,013,29,020132902,02091,Comuna 13
615,02,014,06,020140607,02098,Comuna 14
616,02,015,04,020150401,02105,Comuna 15
617,02,012,15,020121510,02084,Comuna 12
618,02,014,16,020141605,02098,Comuna 14
619,02,014,06,020140609,02098,Comuna 14
620,02,015,10,020151003,02105,Comuna 15
621,02,012,21,020122104,02084,Comuna 12
622,02,014,08,020140805,02098,Comuna 14
623,02,015,04,020150405,02105,Comuna 15
624,02,015,05,020150502,02105,Comuna 15
625,02,015,04,020150406,02105,Comuna 15
626,02,015,02,020150204,02105,Comuna 15
627,02,014,11,020141109,02098,Comuna 14
628,02,014,06,020140603,02098,Comuna 14
629,02,014,08,020140806,02098,Comuna 14
630,02,012,22,020122203,02084,Comuna 12
